Policy_ID,Customer_ID,First_Name,Last_Name,Age,Gender,State,Vehicle_Make,Vehicle_Model,Vehicle_Year,Policy_Type,Coverage_Level,Annual_Premium,Deductible,Policy_Status,Claim_Count,Last_Claim_Amount,Credit_Score_Range,Policy_Start_Date,Policy_End_Date
P00031,C00031,James,Davis,21,Male,TX,Nissan,Altima,2021,Commercial Auto,Full Coverage,1083.45,750,Expired,2,4257.1,Very Good,2024-06-22,2025-06-22
P00032,C00032,Liam,Brown,37,Female,NV,Honda,Civic,2021,Personal Auto,Liability Only,2169.26,500,Active,1,9499.0,Fair,2024-10-03,2025-10-03
P00033,C00033,James,Martinez,30,Female,NC,Audi,A4,2016,Personal Auto,Collision,1612.36,500,Cancelled,0,0.0,Fair,2024-05-08,2025-05-08
P00034,C00034,Amelia,Rodriguez,56,Male,IL,Audi,A4,2017,Personal Auto,Liability Only,830.98,750,Cancelled,3,9133.49,Very Good,2024-09-18,2025-09-18
P00035,C00035,Emma,Miller,75,Female,FL,BMW,3 Series,2015,Commercial Auto,Full Coverage,2117.34,1000,Expired,0,0.0,Excellent,2024-08-22,2025-08-22
P00036,C00036,Charlotte,Taylor,26,Male,NV,Hyundai,Elantra,2021,Personal Auto,Liability Only,2085.38,500,Expired,3,11971.7,Poor,2024-12-30,2025-12-30
P00037,C00037,Benjamin,Anderson,51,Female,NC,Tesla,Model 3,2024,Commercial Auto,Collision,1033.91,250,Expired,0,0.0,Excellent,2024-07-01,2025-07-01
P00038,C00038,Amelia,Wilson,66,Female,NY,Tesla,Model 3,2020,Personal Auto,Collision,1009.46,1000,Expired,0,0.0,Very Good,2024-12-20,2025-12-20
P00039,C00039,John,Wilson,38,Female,TX,Kia,Sportage,2018,Commercial Auto,Comprehensive,1248.84,250,Active,2,12554.29,Poor,2024-05-19,2025-05-19
P00040,C00040,William,Smith,64,Female,AZ,Audi,A4,2024,Commercial Auto,Liability Only,1026.85,500,Expired,2,8994.6,Poor,2024-06-03,2025-06-03
P00041,C00041,Amelia,Thomas,33,Male,NC,Honda,Civic,2015,Commercial Auto,Comprehensive,902.68,250,Active,3,3058.23,Good,2024-10-27,2025-10-27
P00042,C00042,Emma,Rodriguez,43,Male,AZ,Chevrolet,Malibu,2017,Commercial Auto,Full Coverage,2161.12,1000,Expired,2,8398.62,Very Good,2024-09-30,2025-09-30
P00043,C00043,Henry,Thomas,43,Female,CA,Tesla,Model 3,2017,Commercial Auto,Comprehensive,1385.58,250,Expired,1,9520.28,Good,2024-02-21,2025-02-20
P00044,C00044,James,Wilson,40,Male,NY,Honda,Civic,2017,Commercial Auto,Comprehensive,1066.44,750,Expired,0,0.0,Good,2024-01-08,2025-01-07
P00045,C00045,Lucas,Wilson,55,Male,TX,Chevrolet,Malibu,2015,Personal Auto,Collision,1439.57,1000,Expired,1,14839.75,Very Good,2024-10-24,2025-10-24
P00046,C00046,Charlotte,Davis,74,Female,TX,Tesla,Model 3,2022,Commercial Auto,Collision,603.22,500,Cancelled,0,0.0,Excellent,2024-04-13,2025-04-13
P00047,C00047,Amelia,Davis,47,Female,AZ,Audi,A4,2016,Personal Auto,Collision,659.17,250,Expired,2,861.96,Good,2024-01-01,2024-12-31
P00048,C00048,Liam,Jones,38,Male,AZ,Tesla,Model 3,2016,Personal Auto,Collision,2020.22,500,Active,0,0.0,Very Good,2024-02-29,2025-02-28
P00049,C00049,Michael,Smith,61,Female,GA,Nissan,Altima,2024,Personal Auto,Collision,2043.66,250,Active,2,14501.63,Good,2024-03-21,2025-03-21
P00050,C00050,Liam,Smith,57,Male,NC,Honda,Civic,2022,Personal Auto,Comprehensive,959.32,1000,Expired,1,13816.34,Fair,2024-02-21,2025-02-20
P00051,C00051,Charlotte,Rodriguez,60,Male,GA,BMW,3 Series,2021,Commercial Auto,Collision,1039.13,500,Active,3,9970.25,Poor,2024-06-22,2025-06-22
P00052,C00052,William,Rodriguez,44,Female,IL,Kia,Sportage,2019,Personal Auto,Comprehensive,2401.15,750,Expired,3,2115.91,Good,2024-06-02,2025-06-02
P00053,C00053,Noah,Davis,67,Female,NV,Ford,F-150,2022,Personal Auto,Liability Only,1297.48,500,Cancelled,0,0.0,Very Good,2024-06-24,2025-06-24
P00054,C00054,Charlotte,Williams,46,Male,NY,Hyundai,Elantra,2022,Personal Auto,Full Coverage,2128.41,500,Active,3,5909.46,Excellent,2024-05-31,2025-05-31
P00055,C00055,Ava,Anderson,28,Female,GA,Tesla,Model 3,2020,Commercial Auto,Full Coverage,1037.42,1000,Cancelled,2,13029.41,Good,2024-02-06,2025-02-05
P00056,C00056,Lucas,Smith,64,Female,WA,Toyota,Camry,2022,Commercial Auto,Collision,1088.53,500,Active,3,4326.81,Poor,2024-05-28,2025-05-28
P00057,C00057,Charlotte,Williams,26,Female,NY,Audi,A4,2015,Commercial Auto,Liability Only,1289.63,250,Cancelled,2,3867.8,Good,2024-09-29,2025-09-29
P00058,C00058,Charlotte,Williams,66,Female,GA,Tesla,Model 3,2023,Commercial Auto,Collision,1567.26,250,Cancelled,0,0.0,Poor,2024-05-16,2025-05-16
P00059,C00059,Charlotte,Miller,64,Female,CA,Toyota,Camry,2017,Commercial Auto,Full Coverage,2314.97,500,Cancelled,0,0.0,Very Good,2024-02-29,2025-02-28
P00060,C00060,Evelyn,Smith,54,Male,NY,Nissan,Altima,2016,Personal Auto,Full Coverage,2274.02,750,Active,3,7109.08,Good,2024-10-08,2025-10-08
P00061,C00061,Harper,Smith,25,Male,WA,Tesla,Model 3,2022,Commercial Auto,Full Coverage,2161.42,750,Active,0,0.0,Excellent,2024-04-08,2025-04-08
P00062,C00062,Olivia,Taylor,61,Male,WA,Ford,F-150,2015,Commercial Auto,Liability Only,1412.03,750,Cancelled,3,3330.79,Very Good,2024-04-17,2025-04-17
P00063,C00063,Noah,Johnson,41,Female,NV,Kia,Sportage,2017,Commercial Auto,Collision,1977.52,250,Cancelled,1,10304.25,Poor,2024-06-03,2025-06-03
P00064,C00064,Ava,Johnson,55,Male,NY,Nissan,Altima,2023,Commercial Auto,Liability Only,814.45,250,Expired,0,0.0,Poor,2024-08-29,2025-08-29
P00065,C00065,Isabella,Taylor,27,Female,GA,Honda,Civic,2020,Personal Auto,Comprehensive,1027.81,250,Active,3,6192.84,Very Good,2024-01-31,2025-01-30
P00066,C00066,Olivia,Williams,32,Male,IL,Honda,Civic,2018,Commercial Auto,Comprehensive,1125.12,250,Cancelled,0,0.0,Very Good,2024-12-13,2025-12-13
P00067,C00067,Liam,Brown,34,Female,FL,Audi,A4,2024,Personal Auto,Full Coverage,828.23,750,Cancelled,1,13127.98,Excellent,2024-01-19,2025-01-18
P00068,C00068,Lucas,Martinez,21,Male,TX,Toyota,Camry,2017,Commercial Auto,Comprehensive,651.48,750,Expired,2,5635.54,Fair,2024-10-20,2025-10-20
P00069,C00069,Charlotte,Davis,54,Female,GA,Ford,F-150,2016,Commercial Auto,Full Coverage,1119.03,1000,Cancelled,0,0.0,Poor,2024-12-08,2025-12-08
P00070,C00070,William,Smith,38,Male,NV,Toyota,Camry,2022,Commercial Auto,Comprehensive,1149.18,250,Active,3,5788.2,Excellent,2024-02-27,2025-02-26
P00071,C00071,Lucas,Rodriguez,60,Female,NV,Chevrolet,Malibu,2016,Personal Auto,Collision,820.67,1000,Cancelled,1,5973.96,Very Good,2024-04-08,2025-04-08
P00072,C00072,Noah,Taylor,50,Female,CA,Toyota,Camry,2015,Commercial Auto,Collision,1385.67,1000,Cancelled,0,0.0,Good,2024-02-09,2025-02-08
P00073,C00073,Olivia,Wilson,39,Female,NY,Kia,Sportage,2023,Personal Auto,Comprehensive,1727.03,750,Active,1,10335.11,Fair,2024-10-30,2025-10-30
P00074,C00074,Isabella,Miller,57,Female,CA,BMW,3 Series,2019,Commercial Auto,Comprehensive,707.86,1000,Cancelled,3,6821.67,Fair,2024-12-15,2025-12-15
P00075,C00075,Liam,Garcia,70,Male,FL,Toyota,Camry,2021,Personal Auto,Full Coverage,1531.25,500,Expired,2,14788.41,Fair,2024-05-03,2025-05-03
P00076,C00076,Olivia,Martinez,65,Male,FL,BMW,3 Series,2018,Commercial Auto,Full Coverage,2086.22,250,Expired,2,9802.43,Excellent,2024-11-17,2025-11-17
P00077,C00077,Noah,Garcia,28,Female,GA,BMW,3 Series,2015,Personal Auto,Comprehensive,1650.72,1000,Active,2,3073.82,Poor,2024-10-21,2025-10-21
P00078,C00078,Liam,Johnson,70,Male,WA,Toyota,Camry,2020,Personal Auto,Full Coverage,1771.27,1000,Cancelled,2,5702.01,Very Good,2024-01-14,2025-01-13
P00079,C00079,Sophia,Johnson,49,Female,NY,Chevrolet,Malibu,2016,Commercial Auto,Comprehensive,1967.11,250,Expired,1,13631.16,Poor,2024-03-12,2025-03-12
P00080,C00080,Charlotte,Anderson,59,Female,IL,Tesla,Model 3,2021,Commercial Auto,Comprehensive,1607.34,250,Active,3,5484.26,Good,2024-09-06,2025-09-06
P00081,C00081,Isabella,Anderson,40,Male,NC,Tesla,Model 3,2022,Personal Auto,Collision,2190.71,750,Cancelled,0,0.0,Poor,2024-07-14,2025-07-14
P00082,C00082,Harper,Rodriguez,68,Male,GA,Honda,Civic,2017,Personal Auto,Collision,2055.22,250,Active,2,6416.18,Very Good,2024-10-11,2025-10-11
P00083,C00083,Liam,Jones,40,Female,FL,Chevrolet,Malibu,2018,Commercial Auto,Full Coverage,879.5,1000,Cancelled,1,5272.02,Very Good,2024-12-29,2025-12-29
P00084,C00084,Lucas,Jones,55,Female,NY,Chevrolet,Malibu,2016,Commercial Auto,Full Coverage,1543.88,750,Active,2,8422.95,Fair,2024-04-16,2025-04-16
P00085,C00085,James,Williams,31,Male,GA,Kia,Sportage,2020,Commercial Auto,Full Coverage,912.97,750,Expired,0,0.0,Good,2024-01-27,2025-01-26
P00086,C00086,Charlotte,Rodriguez,54,Female,GA,Tesla,Model 3,2022,Personal Auto,Comprehensive,2418.28,1000,Cancelled,3,14271.41,Excellent,2024-01-17,2025-01-16
P00087,C00087,Olivia,Wilson,28,Male,NC,BMW,3 Series,2022,Commercial Auto,Collision,1014.83,1000,Cancelled,3,10309.22,Fair,2024-12-10,2025-12-10
P00088,C00088,Charlotte,Garcia,75,Male,FL,Toyota,Camry,2023,Personal Auto,Liability Only,1317.18,250,Expired,1,10468.76,Poor,2024-01-30,2025-01-29
P00089,C00089,Ava,Davis,61,Male,IL,Kia,Sportage,2019,Commercial Auto,Full Coverage,1375.54,500,Cancelled,3,5828.09,Good,2024-12-23,2025-12-23
P00090,C00090,William,Martinez,71,Male,NV,Honda,Civic,2018,Personal Auto,Comprehensive,2370.08,500,Expired,3,7900.82,Excellent,2024-05-18,2025-05-18
P00091,C00091,Liam,Taylor,28,Male,TX,Ford,F-150,2022,Personal Auto,Collision,1047.4,500,Active,2,14339.63,Excellent,2024-12-11,2025-12-11
P00092,C00092,Charlotte,Thomas,46,Female,TX,Ford,F-150,2022,Commercial Auto,Full Coverage,952.74,750,Active,3,10916.34,Excellent,2024-06-12,2025-06-12
P00093,C00093,Isabella,Brown,22,Male,IL,Kia,Sportage,2015,Commercial Auto,Comprehensive,675.77,750,Expired,1,9246.51,Poor,2024-02-17,2025-02-16
P00094,C00094,Sophia,Rodriguez,33,Male,FL,Audi,A4,2015,Commercial Auto,Collision,2157.94,1000,Active,2,12240.18,Good,2024-11-24,2025-11-24
P00095,C00095,Amelia,Wilson,28,Female,IL,Tesla,Model 3,2018,Commercial Auto,Collision,1744.57,250,Active,0,0.0,Fair,2024-08-10,2025-08-10
P00096,C00096,Liam,Johnson,60,Male,TX,Hyundai,Elantra,2015,Commercial Auto,Full Coverage,1874.0,250,Cancelled,2,11502.62,Fair,2024-07-26,2025-07-26
P00097,C00097,John,Jones,41,Female,NY,Honda,Civic,2015,Commercial Auto,Collision,1046.98,1000,Cancelled,3,11473.49,Very Good,2024-11-13,2025-11-13
P00098,C00098,Benjamin,Wilson,24,Male,NV,Nissan,Altima,2017,Personal Auto,Collision,2185.69,500,Cancelled,3,3329.95,Very Good,2024-03-11,2025-03-11
P00099,C00099,Charlotte,Thomas,62,Female,GA,Honda,Civic,2017,Commercial Auto,Full Coverage,1422.51,750,Expired,3,7945.02,Fair,2024-01-23,2025-01-22
P00100,C00100,Benjamin,Anderson,30,Female,GA,BMW,3 Series,2021,Personal Auto,Liability Only,1256.05,250,Expired,3,7913.08,Poor,2024-09-01,2025-09-01
P00101,C00101,John,Thomas,66,Female,GA,Honda,Civic,2023,Personal Auto,Liability Only,2240.29,1000,Expired,3,2929.19,Very Good,2024-04-11,2025-04-11
P00102,C00102,Benjamin,Wilson,51,Male,NY,Kia,Sportage,2020,Commercial Auto,Comprehensive,709.34,250,Active,3,14015.17,Excellent,2024-02-26,2025-02-25
P00103,C00103,Henry,Martinez,56,Female,NV,Ford,F-150,2024,Personal Auto,Full Coverage,1181.56,500,Active,1,2610.54,Excellent,2024-03-31,2025-03-31
P00104,C00104,Henry,Williams,59,Male,CA,Honda,Civic,2023,Commercial Auto,Comprehensive,2256.18,250,Active,3,6444.37,Poor,2024-08-20,2025-08-20
P00105,C00105,Lucas,Davis,30,Male,GA,BMW,3 Series,2020,Commercial Auto,Comprehensive,753.95,750,Active,3,11711.36,Excellent,2024-11-11,2025-11-11
P00106,C00106,Sophia,Wilson,38,Male,CA,Nissan,Altima,2021,Commercial Auto,Comprehensive,2428.95,250,Cancelled,3,5560.48,Excellent,2024-03-18,2025-03-18
P00107,C00107,William,Brown,58,Male,FL,Nissan,Altima,2017,Commercial Auto,Full Coverage,1905.63,750,Active,1,1521.39,Very Good,2024-05-04,2025-05-04
P00108,C00108,Harper,Smith,52,Male,NY,Honda,Civic,2019,Commercial Auto,Liability Only,1940.04,500,Active,2,628.9,Poor,2024-12-31,2025-12-31
P00109,C00109,Charlotte,Taylor,42,Male,WA,Kia,Sportage,2019,Personal Auto,Liability Only,879.95,500,Active,3,14224.41,Poor,2024-02-21,2025-02-20
P00110,C00110,William,Jones,23,Female,FL,Chevrolet,Malibu,2024,Personal Auto,Comprehensive,1430.2,750,Active,0,0.0,Fair,2024-01-31,2025-01-30
P00111,C00111,James,Rodriguez,69,Female,TX,Hyundai,Elantra,2024,Commercial Auto,Liability Only,1288.79,750,Cancelled,1,7467.41,Excellent,2024-02-25,2025-02-24
P00112,C00112,Evelyn,Wilson,48,Female,NY,BMW,3 Series,2023,Personal Auto,Liability Only,2038.64,500,Active,3,696.11,Fair,2024-07-24,2025-07-24
P00113,C00113,John,Anderson,42,Male,NC,Ford,F-150,2020,Personal Auto,Comprehensive,1904.22,1000,Active,0,0.0,Good,2024-09-30,2025-09-30
P00114,C00114,Olivia,Wilson,54,Male,NY,Chevrolet,Malibu,2016,Personal Auto,Comprehensive,809.69,500,Active,0,0.0,Excellent,2024-05-07,2025-05-07
P00115,C00115,Liam,Taylor,57,Female,TX,Honda,Civic,2021,Personal Auto,Comprehensive,2448.47,750,Active,3,4609.47,Poor,2024-11-11,2025-11-11
P00116,C00116,William,Rodriguez,33,Female,NY,Ford,F-150,2015,Commercial Auto,Full Coverage,1474.65,1000,Expired,2,14375.93,Excellent,2024-03-07,2025-03-07
P00117,C00117,Emma,Davis,50,Male,WA,Ford,F-150,2023,Commercial Auto,Full Coverage,1990.57,1000,Cancelled,1,11391.02,Good,2024-10-08,2025-10-08
P00118,C00118,Henry,Miller,27,Male,TX,Audi,A4,2018,Commercial Auto,Liability Only,980.44,1000,Active,3,1729.45,Very Good,2024-11-09,2025-11-09
P00119,C00119,Michael,Thomas,60,Male,AZ,Honda,Civic,2021,Commercial Auto,Full Coverage,1448.4,250,Cancelled,2,6201.84,Poor,2024-12-02,2025-12-02
P00120,C00120,Charlotte,Anderson,56,Male,AZ,Toyota,Camry,2015,Personal Auto,Collision,1024.35,250,Cancelled,2,3000.02,Very Good,2024-07-25,2025-07-25
P00121,C00121,William,Martinez,28,Male,AZ,BMW,3 Series,2018,Commercial Auto,Comprehensive,2403.28,250,Cancelled,0,0.0,Good,2024-11-17,2025-11-17
P00122,C00122,Harper,Miller,48,Male,WA,BMW,3 Series,2021,Personal Auto,Comprehensive,1395.66,500,Active,0,0.0,Excellent,2024-04-07,2025-04-07
P00123,C00123,James,Taylor,73,Male,NY,BMW,3 Series,2017,Personal Auto,Collision,1450.69,750,Expired,0,0.0,Very Good,2024-01-29,2025-01-28
P00124,C00124,Amelia,Thomas,26,Female,IL,Toyota,Camry,2016,Personal Auto,Comprehensive,1995.54,1000,Cancelled,3,2123.03,Good,2024-07-20,2025-07-20
P00125,C00125,William,Davis,66,Male,WA,Chevrolet,Malibu,2019,Commercial Auto,Liability Only,1742.11,500,Active,0,0.0,Very Good,2024-01-11,2025-01-10
P00126,C00126,Evelyn,Jones,35,Female,TX,Tesla,Model 3,2015,Personal Auto,Comprehensive,1333.94,750,Cancelled,1,14815.5,Poor,2024-02-29,2025-02-28
P00127,C00127,Emma,Rodriguez,66,Male,NY,Ford,F-150,2022,Commercial Auto,Full Coverage,1821.6,750,Expired,0,0.0,Excellent,2024-03-30,2025-03-30
P00128,C00128,Isabella,Johnson,41,Male,WA,Ford,F-150,2017,Personal Auto,Collision,666.59,750,Cancelled,1,10703.43,Very Good,2024-04-18,2025-04-18
P00129,C00129,Amelia,Miller,59,Female,CA,Kia,Sportage,2024,Personal Auto,Liability Only,2104.02,500,Cancelled,0,0.0,Fair,2024-04-30,2025-04-30
P00130,C00130,Olivia,Martinez,30,Male,IL,BMW,3 Series,2019,Personal Auto,Liability Only,1496.76,750,Expired,2,12696.07,Excellent,2024-01-20,2025-01-19
P00131,C00131,Benjamin,Thomas,59,Male,NV,Tesla,Model 3,2017,Personal Auto,Collision,2074.52,250,Active,3,8838.72,Excellent,2024-02-10,2025-02-09
P00132,C00132,Lucas,Taylor,67,Female,NY,Honda,Civic,2015,Commercial Auto,Full Coverage,2275.38,750,Cancelled,3,4152.55,Good,2024-11-30,2025-11-30
P00133,C00133,Isabella,Johnson,61,Female,AZ,Hyundai,Elantra,2017,Personal Auto,Collision,1714.84,500,Active,0,0.0,Poor,2024-05-01,2025-05-01
P00134,C00134,Isabella,Johnson,33,Female,NY,Honda,Civic,2018,Personal Auto,Collision,1246.93,1000,Active,3,10121.52,Poor,2024-11-14,2025-11-14
P00135,C00135,Sophia,Wilson,63,Male,GA,Audi,A4,2021,Personal Auto,Comprehensive,650.82,250,Cancelled,3,12033.47,Excellent,2024-12-23,2025-12-23
P00136,C00136,Charlotte,Anderson,54,Male,FL,BMW,3 Series,2024,Commercial Auto,Comprehensive,2366.03,1000,Active,1,5590.48,Excellent,2024-08-29,2025-08-29
P00137,C00137,Lucas,Rodriguez,38,Female,AZ,Chevrolet,Malibu,2022,Commercial Auto,Collision,686.92,500,Expired,1,7976.69,Excellent,2024-07-15,2025-07-15
P00138,C00138,Olivia,Williams,69,Female,TX,Hyundai,Elantra,2021,Personal Auto,Comprehensive,1869.95,1000,Cancelled,1,6806.75,Excellent,2024-08-03,2025-08-03
P00139,C00139,William,Miller,40,Male,GA,BMW,3 Series,2023,Personal Auto,Full Coverage,2305.8,750,Cancelled,3,11273.75,Fair,2024-06-14,2025-06-14
P00140,C00140,Lucas,Garcia,53,Female,WA,Ford,F-150,2015,Personal Auto,Comprehensive,2120.95,500,Expired,1,525.22,Excellent,2024-04-02,2025-04-02
P00141,C00141,Henry,Thomas,26,Male,IL,Honda,Civic,2017,Commercial Auto,Full Coverage,2470.07,750,Expired,0,0.0,Fair,2024-03-12,2025-03-12
P00142,C00142,Isabella,Brown,29,Male,NV,Tesla,Model 3,2019,Personal Auto,Full Coverage,636.5,500,Active,0,0.0,Very Good,2024-06-30,2025-06-30
P00143,C00143,John,Rodriguez,75,Female,WA,Hyundai,Elantra,2020,Personal Auto,Collision,785.02,1000,Expired,0,0.0,Very Good,2024-06-26,2025-06-26
P00144,C00144,Michael,Williams,64,Male,AZ,Audi,A4,2024,Personal Auto,Collision,2089.87,500,Cancelled,3,2820.79,Very Good,2024-06-08,2025-06-08
P00145,C00145,Isabella,Jones,73,Female,NY,Audi,A4,2015,Personal Auto,Comprehensive,1887.91,500,Cancelled,1,2607.55,Good,2024-02-16,2025-02-15
P00146,C00146,Isabella,Thomas,28,Male,IL,Nissan,Altima,2024,Personal Auto,Liability Only,1348.24,750,Active,3,13854.89,Fair,2024-04-04,2025-04-04
P00147,C00147,Lucas,Garcia,36,Female,NY,BMW,3 Series,2017,Personal Auto,Comprehensive,1666.3,1000,Cancelled,1,11038.48,Good,2024-09-17,2025-09-17
P00148,C00148,John,Martinez,22,Male,AZ,Kia,Sportage,2015,Personal Auto,Comprehensive,1488.38,1000,Expired,0,0.0,Excellent,2024-06-04,2025-06-04
P00149,C00149,Liam,Rodriguez,41,Female,AZ,Ford,F-150,2020,Personal Auto,Collision,1301.11,250,Cancelled,1,9403.95,Poor,2024-01-02,2025-01-01
P00150,C00150,Olivia,Williams,28,Male,AZ,Tesla,Model 3,2022,Commercial Auto,Collision,1150.38,1000,Expired,3,3466.77,Good,2024-11-01,2025-11-01
P00151,C00151,Evelyn,Rodriguez,33,Female,FL,Hyundai,Elantra,2016,Personal Auto,Collision,1732.88,250,Cancelled,0,0.0,Poor,2024-11-08,2025-11-08
P00152,C00152,Isabella,Wilson,67,Female,WA,Hyundai,Elantra,2024,Commercial Auto,Liability Only,1785.23,250,Expired,1,12411.45,Very Good,2024-03-18,2025-03-18
P00153,C00153,Olivia,Rodriguez,25,Female,GA,Ford,F-150,2020,Personal Auto,Comprehensive,1930.34,1000,Cancelled,2,14718.54,Fair,2024-10-15,2025-10-15
P00154,C00154,Olivia,Davis,30,Female,AZ,Toyota,Camry,2019,Commercial Auto,Liability Only,1774.83,500,Cancelled,3,3913.84,Fair,2024-01-27,2025-01-26
P00155,C00155,Noah,Martinez,55,Male,GA,Honda,Civic,2023,Personal Auto,Collision,676.12,1000,Active,2,9441.47,Good,2024-05-07,2025-05-07
P00156,C00156,Amelia,Miller,33,Male,NV,BMW,3 Series,2024,Personal Auto,Comprehensive,1883.75,750,Active,3,1673.04,Excellent,2024-01-13,2025-01-12
